P_id,CellSize,P_Area_ha_Excel
10246,114,101.00
10293,114,101.00
10493,114,101.00
10581,114,101.00
10753,114,101.00
10874,114,101.00
10897,114,101.00
10988,114,101.00
11049,114,101.00
11085,114,101.00
11339,114,101.00
11422,114,101.00
11501,114,101.00
11502,114,101.00
11533,114,101.00
11600,114,101.00
11688,114,101.00
11783,114,101.00
11850,114,101.00
11875,114,101.00
11883,114,101.00
11918,114,101.00
11927,114,101.00
11938,114,101.00
12070,114,101.00
12183,114,101.00
12245,114,101.00
12327,114,101.00
12498,114,101.00
12583,114,101.00
12674,114,101.00
12690,114,101.00
12716,114,101.00
12869,114,101.00
12928,114,101.00
12933,114,101.00
13070,114,101.00
13078,114,101.00
13148,114,101.00
13257,114,101.00
13300,114,101.00
13308,114,101.00
13619,114,101.00
13671,114,101.00
13716,114,101.00
13737,114,101.00
13784,114,101.00
14006,114,101.00
14182,114,101.00
14233,114,101.00
14342,114,101.00
14451,114,101.00
14594,114,101.00
14766,114,101.00
14885,114,101.00
15128,114,101.00
15236,114,101.00
15247,114,101.00
15283,114,101.00
15359,114,101.00
15519,114,101.00
15561,114,101.00
16091,114,101.00
16170,114,101.00
16287,114,101.00
16323,114,101.00
16409,114,101.00
16595,114,101.00
16774,114,101.00
17020,114,101.00
17118,114,101.00
17208,114,101.00
17782,114,101.00
17831,114,101.00
18219,114,101.00
18287,114,101.00
18357,114,101.00
18501,114,101.00
18619,114,101.00
18747,114,101.00
18970,114,101.00
19009,114,101.00
19049,114,101.00
19072,114,101.00
19074,114,101.00
19096,114,101.00
19409,114,101.00
19477,114,101.00
19709,114,101.00
19827,114,101.00
20110,114,101.00
20188,114,101.00
20266,114,101.00
20277,114,101.00
20378,114,101.00
20688,114,101.00
20738,114,101.00
20799,114,101.00
21412,114,101.00
21480,114,101.00
21740,114,101.00
21844,114,101.00
22223,114,101.00
22336,114,101.00
22338,114,101.00
22339,114,101.00
22447,114,101.00
22564,114,101.00
22954,114,101.00
22971,114,101.00
23061,114,101.00
23101,114,101.00
23208,114,101.00
23235,114,101.00
23382,114,101.00
23711,114,101.00
24403,114,101.00
24415,114,101.00
24704,114,101.00
24795,114,101.00
24911,114,101.00
24934,114,101.00
25195,114,101.00
25244,114,101.00
25387,114,101.00
25468,114,101.00
25514,114,101.00
25569,114,101.00
25739,114,101.00
25874,114,101.00
25924,114,101.00
25979,114,101.00
26096,114,101.00
26107,114,101.00
26122,114,101.00
26149,114,101.00
26155,114,101.00
26268,114,101.00
26343,114,101.00
26567,114,101.00
26676,114,101.00
26711,114,101.00
26942,114,101.00
27128,114,101.00
27204,114,101.00
27383,114,101.00
27409,114,101.00
27413,114,101.00
27716,114,101.00
28044,114,101.00
28072,114,101.00
28121,114,101.00
28430,114,101.00
28466,114,101.00
28525,114,101.00
28554,114,101.00
28905,114,101.00
29070,114,101.00
29116,114,101.00
29133,114,101.00
29135,114,101.00
29219,114,101.00
29404,114,101.00
29408,114,101.00
29438,114,101.00
29538,114,101.00
29562,114,101.00
29737,114,101.00
29753,114,101.00
29772,114,101.00
29945,114,101.00
30093,114,101.00
30213,114,101.00
30239,114,101.00
30353,114,101.00
30819,114,101.00
30823,114,101.00
30909,114,101.00
31108,114,101.00
31226,114,101.00
31250,114,101.00
31390,114,101.00
31439,114,101.00
31661,114,101.00
31721,114,101.00
31793,114,101.00
31957,114,101.00
32043,114,101.00
58,115,101.89
219,115,101.89
405,115,101.89
459,115,101.89
506,115,101.89
690,115,101.89
831,115,101.89
945,115,101.89
947,115,101.89
1012,115,101.89
1186,115,101.89
1267,115,101.89
1272,115,101.89
1304,115,101.89
1376,115,101.89
1573,115,101.89
1610,115,101.89
1737,115,101.89
1771,115,101.89
1930,115,101.89
1955,115,101.89
2058,115,101.89
2100,115,101.89
2129,115,101.89
2234,115,101.89
2252,115,101.89
2401,115,101.89
2576,115,101.89
2846,115,101.89
2899,115,101.89
3097,115,101.89
3304,115,101.89
3442,115,101.89
3760,115,101.89
3889,115,101.89
3951,115,101.89
4032,115,101.89
4056,115,101.89
4518,115,101.89
4540,115,101.89
4563,115,101.89
4574,115,101.89
4684,115,101.89
5139,115,101.89
5565,115,101.89
5830,115,101.89
5903,115,101.89
6086,115,101.89
6117,115,101.89
6293,115,101.89
7285,115,101.89
7334,115,101.89
7355,115,101.89
7412,115,101.89
7688,115,101.89
7783,115,101.89
7856,115,101.89
7859,115,101.89
7949,115,101.89
8149,115,101.89
8267,115,101.89
8282,115,101.89
8568,115,101.89
8609,115,101.89
8791,115,101.89
8983,115,101.89
8998,115,101.89
9036,115,101.89
9089,115,101.89
9192,115,101.89
9504,115,101.89
9754,115,101.89
9852,115,101.89
10028,115,101.89
10037,115,101.89
10242,115,101.89
10290,115,101.89
10378,115,101.89
10514,115,101.89
10790,115,101.89
10984,115,101.89
10994,115,101.89
11084,115,101.89
11336,115,101.89
11465,115,101.89
11565,115,101.89
11617,115,101.89
11627,115,101.89
11876,115,101.89
11878,115,101.89
11949,115,101.89
11989,115,101.89
12143,115,101.89
12567,115,101.89
12770,115,101.89
13053,115,101.89
13085,115,101.89
13286,115,101.89
13340,115,101.89
13351,115,101.89
13375,115,101.89
13428,115,101.89
13522,115,101.89
13759,115,101.89
13774,115,101.89
14028,115,101.89
14120,115,101.89
14256,115,101.89
14383,115,101.89
14429,115,101.89
14820,115,101.89
14980,115,101.89
15211,115,101.89
15390,115,101.89
15416,115,101.89
15425,115,101.89
15461,115,101.89
15499,115,101.89
15513,115,101.89
15539,115,101.89
15616,115,101.89
15625,115,101.89
15635,115,101.89
16298,115,101.89
16343,115,101.89
16400,115,101.89
16462,115,101.89
16761,115,101.89
16843,115,101.89
16868,115,101.89
16977,115,101.89
16987,115,101.89
16996,115,101.89
17031,115,101.89
17226,115,101.89
17269,115,101.89
17328,115,101.89
17454,115,101.89
17512,115,101.89
17806,115,101.89
17845,115,101.89
18330,115,101.89
18584,115,101.89
18626,115,101.89
18665,115,101.89
18676,115,101.89
18850,115,101.89
18885,115,101.89
18990,115,101.89
19294,115,101.89
19387,115,101.89
19392,115,101.89
19540,115,101.89
19600,115,101.89
19814,115,101.89
19921,115,101.89
19995,115,101.89
20141,115,101.89
20513,115,101.89
20684,115,101.89
20756,115,101.89
20832,115,101.89
20928,115,101.89
21018,115,101.89
21124,115,101.89
21152,115,101.89
21219,115,101.89
21428,115,101.89
21496,115,101.89
21635,115,101.89
21659,115,101.89
21684,115,101.89
22428,115,101.89
22591,115,101.89
22621,115,101.89
22662,115,101.89
22664,115,101.89
22808,115,101.89
22878,115,101.89
22923,115,101.89
23000,115,101.89
23120,115,101.89
23334,115,101.89
23399,115,101.89
23401,115,101.89
23620,115,101.89
23724,115,101.89
24280,115,101.89
24313,115,101.89
24326,115,101.89
24760,115,101.89
24762,115,101.89
24914,115,101.89
25119,115,101.89
25403,115,101.89
25441,115,101.89
25844,115,101.89
25867,115,101.89
25909,115,101.89
25926,115,101.89
25935,115,101.89
25998,115,101.89
26077,115,101.89
26244,115,101.89
26294,115,101.89
26391,115,101.89
26511,115,101.89
26576,115,101.89
26654,115,101.89
26820,115,101.89
26885,115,101.89
27032,115,101.89
27373,115,101.89
27402,115,101.89
27456,115,101.89
27818,115,101.89
27838,115,101.89
27872,115,101.89
27878,115,101.89
28241,115,101.89
28275,115,101.89
28389,115,101.89
28555,115,101.89
28624,115,101.89
29039,115,101.89
29243,115,101.89
29257,115,101.89
29483,115,101.89
29501,115,101.89
29542,115,101.89
29666,115,101.89
29717,115,101.89
30063,115,101.89
30140,115,101.89
30249,115,101.89
30434,115,101.89
30481,115,101.89
30549,115,101.89
30644,115,101.89
30731,115,101.89
30809,115,101.89
30831,115,101.89
31157,115,101.89
31240,115,101.89
31318,115,101.89
31474,115,101.89
31503,115,101.89
31567,115,101.89
31704,115,101.89
31809,115,101.89
31996,115,101.89
32025,115,101.89
32034,115,101.89
32051,115,101.89
66,116,102.78
175,116,102.78
286,116,102.78
472,116,102.78
683,116,102.78
715,116,102.78
1185,116,102.78
1288,116,102.78
1597,116,102.78
2242,116,102.78
2331,116,102.78
2921,116,102.78
3113,116,102.78
3245,116,102.78
3305,116,102.78
3529,116,102.78
3563,116,102.78
3675,116,102.78
3704,116,102.78
4189,116,102.78
4199,116,102.78
4351,116,102.78
4387,116,102.78
4406,116,102.78
4888,116,102.78
4963,116,102.78
4999,116,102.78
5223,116,102.78
5291,116,102.78
5304,116,102.78
5442,116,102.78
5485,116,102.78
5727,116,102.78
5897,116,102.78
6063,116,102.78
6209,116,102.78
6358,116,102.78
6583,116,102.78
6936,116,102.78
6961,116,102.78
7586,116,102.78
7698,116,102.78
7828,116,102.78
7888,116,102.78
8042,116,102.78
8067,116,102.78
8101,116,102.78
8125,116,102.78
8281,116,102.78
8323,116,102.78
8332,116,102.78
8446,116,102.78
8451,116,102.78
8483,116,102.78
8731,116,102.78
8806,116,102.78
8842,116,102.78
8844,116,102.78
9093,116,102.78
9143,116,102.78
9592,116,102.78
9825,116,102.78
9999,116,102.78
10119,116,102.78
10175,116,102.78
10327,116,102.78
10389,116,102.78
10467,116,102.78
10472,116,102.78
10760,116,102.78
10812,116,102.78
11090,116,102.78
11133,116,102.78
11183,116,102.78
11184,116,102.78
11446,116,102.78
11838,116,102.78
12017,116,102.78
12054,116,102.78
12098,116,102.78
12181,116,102.78
12285,116,102.78
12325,116,102.78
12527,116,102.78
13026,116,102.78
13122,116,102.78
13209,116,102.78
13216,116,102.78
13455,116,102.78
13662,116,102.78
13830,116,102.78
13975,116,102.78
14011,116,102.78
14024,116,102.78
14129,116,102.78
14264,116,102.78
14361,116,102.78
14391,116,102.78
14454,116,102.78
14516,116,102.78
14625,116,102.78
15195,116,102.78
15286,116,102.78
